#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,-1,-1,-1,world.png,0,-1,──アレクサンド歴1850年、2月13日。,-1
0,-1,-1,-1,world.png,0,-1,砂と埃の大地を、武装した一団が馬で駆けていった。,-1
0,-1,-1,-1,world.png,0,-1,早足だ、急いでいるのだろう。,-1
0,-1,-1,-1,world.png,0,-1,しばらくすると、軍らしきキャンプ場に一団はなだれ込んだ。,-1
0,-1,-1,-1,world.png,0,-1,一団の中で最も地位が高いらしい者が、キャンプ場の奥にある士官事務局に入っていった。,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「戻ったか、ロイル。報告を頼む」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「良い報告ですよ、提督。\nスパイによると、ギリアイルの地元民を懐柔することに成功したようです。\nこれにより、敵集団のゲリラ活動は難しくなります」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「……」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「どうかなさいました？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「攻め立てろ、と状況が言っている気がしてな」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「私なら攻めますが」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「ならば攻めるしかあるまい。しかし──、気が重い」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「狗だから、ですか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「そうだ。用の終わった狗は煮て始末される。\n戦争が終われば私は始末される。\n全く──、どうしたものかなあ」\n,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「ふ、ふふ──、\nまあ、リラックスして下さいよ。\n私がどうにか考えておきますから」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「お前がそう言うなら──、多少は骨を休めることが出来そうだな」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「ははは。では部下を労いに行きます。用があったら呼んで下さい」,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
