#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,ヤイバ・ダゲースト,-1,face004.png,world.png,0,-1,「──で、どうする？」,-1
0,ガゴット,-1,face005.png,world.png,0,-1,「問題はないですよ！　消耗しているのは外部民や傭兵の類です！」,-1
0,ガゴット,-1,face005.png,world.png,0,-1,「奥深くまで侵攻させ、兵站が伸び切ったところを精鋭で破るんです！」,-1
0,ヤイバ・ダゲースト,-1,face004.png,world.png,0,-1,「道理だ。ここは山。兵站を維持するのは難しいだろう。特に平地で遊んでいる帝国人は苦労する」,-1
0,ヤイバ・ダゲースト,-1,face004.png,world.png,0,-1,「とはいえ、出来ることはやっておきたい。向こうの仲を裂くことは出来ないか？」,-1
0,ガゴット,-1,face005.png,world.png,0,-1,「やってみます！　成功確率は…………ﾋﾟｰｶﾞｶﾞｯ。28%」,-1
0,ヤイバ・ダゲースト,-1,face004.png,world.png,0,-1,「低いじゃねえか！」,-1
0,-1,-1,-1,world.png,0,-1,ガゴットは傀儡機構だった。これは彼流のジョークであった。,-1
0,-1,-1,-1,world.png,0,-1,ヤイバもそれをわかって軽くツッコミを入れたのであった。,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
